product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B002GJ9JY6,0,1,6,7,85.71428571428571,0.0
B00472I5A4,0,4,3,7,42.857142857142854,0.0
B002LANN56,0,0,7,7,100.0,0.0
B007I7Z3Z0,1,2,4,7,57.14285714285714,14.285714285714285
B007TGDXNO,0,1,6,7,85.71428571428571,0.0
B00412W76S,0,0,7,7,100.0,0.0
B003TNANSO,0,0,7,7,100.0,0.0
B001RVFDOO,1,1,5,7,71.42857142857143,14.285714285714285
B004EAGP74,0,0,7,7,100.0,0.0
B006GA666U,0,1,6,7,85.71428571428571,0.0
B006H34CUS,0,1,6,7,85.71428571428571,0.0
B005A1LINC,0,1,6,7,85.71428571428571,0.0
B005A1LJ04,2,0,5,7,71.42857142857143,28.57142857142857
B008ZRKZSM,0,0,7,7,100.0,0.0
B008J1HO4C,0,0,7,7,100.0,0.0
B008JKSJJ2,0,0,7,7,100.0,0.0
B003BJZMSM,1,1,5,7,71.42857142857143,14.285714285714285
B000JOE224,2,2,3,7,42.857142857142854,28.57142857142857
B001BS4G6O,1,1,4,6,66.66666666666666,16.666666666666664
B001BCVY9W,0,1,5,6,83.33333333333334,0.0
B000WFORH0,0,1,5,6,83.33333333333334,0.0
B001EQ4OWO,1,1,4,6,66.66666666666666,16.666666666666664
B001EQ4P2I,0,0,6,6,100.0,0.0
B001D0DMMY,0,1,5,6,83.33333333333334,0.0
B005HG9ESG,0,0,6,6,100.0,0.0
B0018KR8V0,0,0,6,6,100.0,0.0
B000YSTIL0,0,0,6,6,100.0,0.0
B000WFKI82,1,1,4,6,66.66666666666666,16.666666666666664
B008FHUKE6,0,2,4,6,66.66666666666666,0.0
B003GTR8IO,0,0,6,6,100.0,0.0
B005VOOM4A,0,0,6,6,100.0,0.0
B005GX00BK,0,0,6,6,100.0,0.0
B0001ES9F8,0,2,4,6,66.66666666666666,0.0
B001BCXTGS,1,1,4,6,66.66666666666666,16.666666666666664
B001AIQP8M,0,0,6,6,100.0,0.0
B005K4Q1W2,1,0,5,6,83.33333333333334,16.666666666666664
B0012V1G0Y,0,0,6,6,100.0,0.0
B005IW4WFY,0,0,6,6,100.0,0.0
B00125ZCWI,1,1,4,6,66.66666666666666,16.666666666666664
B007TGDXMK,0,0,6,6,100.0,0.0
B003D4IYSU,2,0,4,6,66.66666666666666,33.33333333333333
B003D4F1QS,2,1,3,6,50.0,33.33333333333333
B000H0ZJHW,1,0,5,6,83.33333333333334,16.666666666666664
B000FMZO90,0,0,6,6,100.0,0.0
B000FI4O90,0,0,6,6,100.0,0.0
B0006Z7NOK,0,2,4,6,66.66666666666666,0.0
B000Q5X8DK,1,0,5,6,83.33333333333334,16.666666666666664
B00020HHAO,1,2,3,6,50.0,16.666666666666664
B004JRMG98,1,1,4,6,66.66666666666666,16.666666666666664
B002AQP5MK,0,0,6,6,100.0,0.0
B002AQ0OL2,0,2,4,6,66.66666666666666,0.0
B002DHTWNO,1,0,5,6,83.33333333333334,16.666666666666664
B007TJGZ18,0,0,6,6,100.0,0.0
B003TC7WN4,0,0,6,6,100.0,0.0
B0034EDMLI,0,0,6,6,100.0,0.0
B000KV7ZGQ,0,2,4,6,66.66666666666666,0.0
B0045XE32E,0,0,6,6,100.0,0.0
B000CQBZPG,0,1,5,6,83.33333333333334,0.0
B000NBQUNW,1,0,5,6,83.33333333333334,16.666666666666664
B000CQG8AS,0,0,6,6,100.0,0.0
B000Q71L50,0,0,6,6,100.0,0.0
B001LG940E,0,0,6,6,100.0,0.0
B001J9QBU4,1,0,5,6,83.33333333333334,16.666666666666664
B000UUWECC,1,1,4,6,66.66666666666666,16.666666666666664
B006N3I0DM,0,0,6,6,100.0,0.0
B001RVFERK,0,1,5,6,83.33333333333334,0.0
B001TLY7A8,1,0,5,6,83.33333333333334,16.666666666666664
B001P3PR54,1,0,5,6,83.33333333333334,16.666666666666664
B001NXM3I0,1,0,5,6,83.33333333333334,16.666666666666664
B001HTKOWC,0,1,5,6,83.33333333333334,0.0
B004TPKAN4,1,0,5,6,83.33333333333334,16.666666666666664
B001EQ55RW,1,0,5,6,83.33333333333334,16.666666666666664
B00099XNZ6,0,0,6,6,100.0,0.0
B004JGQ15E,0,0,6,6,100.0,0.0
B000VK08OC,0,4,2,6,33.33333333333333,0.0
B001D0DMME,1,0,5,6,83.33333333333334,16.666666666666664
B0009F3POY,1,1,4,6,66.66666666666666,16.666666666666664
B001ELL60W,0,0,6,6,100.0,0.0
B00073IVAQ,0,0,6,6,100.0,0.0
B001CFMGGI,0,0,5,5,100.0,0.0
B00141WDXG,1,1,3,5,60.0,20.0
B0016B7Z32,0,2,3,5,60.0,0.0
B001397WV2,1,1,3,5,60.0,20.0
B005K4Q68Q,0,0,5,5,100.0,0.0
B005K4Q4KG,0,1,4,5,80.0,0.0
B005K4Q1RW,0,1,4,5,80.0,0.0
B0012XBD7I,0,0,5,5,100.0,0.0
B0014AUJII,1,0,4,5,80.0,20.0
B005CUU23S,1,1,3,5,60.0,20.0
B005VOONGM,0,0,5,5,100.0,0.0
B005VOOKS8,0,0,5,5,100.0,0.0
B00014DXCC,1,1,3,5,60.0,20.0
B005ZBZLSU,0,0,5,5,100.0,0.0
B000EVOSE4,0,0,5,5,100.0,0.0
B003KRHDMI,0,0,5,5,100.0,0.0
B000FMZO8G,0,0,5,5,100.0,0.0
B000GAT6MM,0,0,5,5,100.0,0.0
B000H1217M,1,1,3,5,60.0,20.0
B000HDI5O8,1,0,4,5,80.0,20.0
B003D4MYLS,0,0,5,5,100.0,0.0
B003CK2BQG,0,2,3,5,60.0,0.0
B003EM7J9Q,0,0,5,5,100.0,0.0
B005VOONI0,0,0,5,5,100.0,0.0
B000YSTGGW,0,1,4,5,80.0,0.0
B0012BSMJM,1,1,3,5,60.0,20.0
B001EQ55ZO,0,0,5,5,100.0,0.0
B005SPQENY,0,0,5,5,100.0,0.0
B000WFN0VO,0,1,4,5,80.0,0.0
B005ZBZLT4,0,0,5,5,100.0,0.0
B004CYLW7A,0,0,5,5,100.0,0.0
B00073JVFU,0,1,4,5,80.0,0.0
B001OCBT3U,0,0,5,5,100.0,0.0
B0007A0APS,0,1,4,5,80.0,0.0
B001O023FK,0,1,4,5,80.0,0.0
B004JRKEH4,0,0,5,5,100.0,0.0
B0076MLL12,1,0,4,5,80.0,20.0
B004K30HO2,1,0,4,5,80.0,20.0
B001LG945O,1,0,4,5,80.0,20.0
B001EYUE5M,1,2,2,5,40.0,20.0
B004OAZ36I,3,1,1,5,20.0,60.0
B001EQ5JLE,0,0,5,5,100.0,0.0
B000REI2X6,0,1,4,5,80.0,0.0
B006N3HYYS,0,0,5,5,100.0,0.0
B004HOQE64,1,0,4,5,80.0,20.0
B001D0GV90,0,1,4,5,80.0,0.0
B0009ETA76,1,0,4,5,80.0,20.0
B001EO5U3I,0,0,5,5,100.0,0.0
B001E5E0D8,0,0,5,5,100.0,0.0
B001E5E1MI,0,1,4,5,80.0,0.0
B001E5DZTS,0,0,5,5,100.0,0.0
B001CWSKFC,1,0,4,5,80.0,20.0
B001CWV4RS,0,0,5,5,100.0,0.0
B001D0GV7M,0,0,5,5,100.0,0.0
B000WFEN74,1,1,3,5,60.0,20.0
B000V17MLS,0,1,4,5,80.0,0.0
B006N3I3I4,0,0,5,5,100.0,0.0
B005ZBZM52,1,0,4,5,80.0,20.0
B0029XDZDK,1,0,4,5,80.0,20.0
B004BKLHOS,0,0,5,5,100.0,0.0
B00451WLYI,1,0,4,5,80.0,20.0
B0049ULB78,0,1,4,5,80.0,0.0
B003Z6ZGZU,1,0,4,5,80.0,20.0
B000CQBZQK,1,1,3,5,60.0,20.0
B000NGNEKY,1,1,3,5,60.0,20.0
